Date,Description,Theme,Jurisdiction,Area,Note,Label,Latitude,Longitude,Source
21/09/1921,Electricity concession granted to Pinhas Rutenberg by the British Mandate authorities for generation and distribution of electricity in Palestine. Foundation of Palestine Electric Corporation and early grid.,Energy,British Mandate Palestine,Palestine (territory-wide concession),Administrative concession rather than physical infrastructure; enabled formation of Palestine Electric Corporation (incorporated 1923); often cited as origin of centralised electricity system.,Rutenberg Concession,31.7683,35.2137,https://www.un.org/unispal/document/auto-insert-198692/
10/06/1932,"Naharayim hydroelectric power station begins commercial operation at the confluence of the Jordan and Yarmouk rivers, generating power for the Palestine Electric Corporation network.",Energy,British Mandate Palestine,Jordan Valley (Naharayim / Tel Or),Operated by Palestine Electric Corporation; also known as Tel Or. Hydroelectric station constructed by Pinhas Rutenberg; operations ceased during the 1948 war after damage to facilities.,Naharayim Hydro,32.6756,35.5436,https://www.palestine-studies.org/en/node/1649527
12/08/1937,"Newspaper Palestine Post reports draft Hula Concession Ordinance, outlining the definition of reserved and unreserved concession areas in the Hula Valley and establishing regulatory controls over land use, access, and cultivation within the concession.",Governance & Territory,British Mandate for Palestine,"Huleh Concession Area (Upper Galilee, Northern District)","Establishes spatial differentiation between  Reserved  and  Unreserved  concession areas, formalising territorial control through law
Based on cadastral/survey infrastructure, specifically a survey plan dated 22 July 1937, indicating the translation of cartographic knowledge into legal boundaries
Grants extensive powers to the concessionaire (Palestine Land Development Company), including regulation of access, cultivation, and occupancy
Introduces mechanisms of exclusion and enforcement (fines, eviction, imprisonment), embedding legal authority into territorial management
Builds on earlier concession agreements formalised in 1934, marking a consolidation phase of control over the Hula Valley wetlands
Prefigures large-scale environmental transformation (drainage of the Huleh wetlands in the 1950s) by establishing a legal framework for land reclamation and resource extraction
Illustrates a broader Mandate-era pattern of governance through concession + survey + ordinance, linking legal authority to spatial reconfiguration",Huleh Valley concession area,33.103,35.61,
28/02/1938,"Reading Power Station Unit A commissioned at the mouth of the Yarkon River in Tel Aviv, introducing steam-turbine thermal generation to the Palestine Electric Corporation network.",Energy,British Mandate Palestine,Tel Aviv (Yarkon River mouth),Known as Reading A; coal-fired thermal station built to supply the Tel Aviv load centre; commissioning reported in contemporary press on 28 February 1938.,Reading Station,32.0996,34.7805,https://www.nli.org.il/he/newspapers/dav/1938/02/28/01/article/10
01/04/1945,"British Mandate government compiles the Village Statistics, 1945 report documenting population and land ownership for localities including Deir Istiya and Rafah (baseline for later reserve and planning restrictions).",Infrastructure & Technology,British Mandate Palestine,Deir Istiya (Salfit region) / Rafah (southern Gaza),"Report prepared by Department of Statistics, Government of Palestine, April 1945; not tied to a single-day event; 01/04/1945 used as closest documented publication month.",Deir Istiya & Rafah 1945 stats,32.13056,35.14,https://www.palestine-studies.org/en/node/165218
14/05/1948,"State of Israel proclaimed; electricity infrastructure placed under national control during wartime conditions, and Naharayim hydroelectric station operations halted during hostilities in the Jordan Valley. Naharayim hydro ceases operations around 1948 amid war conditions.",Energy,State of Israel / Hashemite Kingdom of Jordan (armistice zone context),National (Israel) / Jordan Valley (Naharayim),Israeli declaration of independence on 14 May 1948; Naharayim plant damaged and ceased operation during fighting shortly after; facility later located within Jordanian-controlled territory after 1949 armistice.,1948 war & hydro shutdown,32.6756,35.5436,https://www.palestine-studies.org/en/node/1649527
11/12/1948,"United Nations General Assembly adopts Resolution 194 addressing Palestinian refugees and displacement following the 1948 war. Israel gains control of West Jerusalem, Egypt gains the Gaza Strip, and Jordan gains the West Bank and East Jerusalem, including the Old City and its historic Jewish quarter. ",Governance & Territory,United Nations,Palestine / Israel,Resolution 194 calls for return of refugees wishing to live at peace and compensation for those not returning.,UN General Assembly Resolution 194,40.7484,-73.9857,https://www.un.org/unispal/document/auto-insert-185393/
02/09/1951,"Large-scale drainage works begin in the Hula Valley to remove wetlands and convert the area to agricultural land under a project led by the Jewish National Fund (Wetlands Drainage, JNF-led drainage project).",Conservation & Environment,State of Israel,Hula Valley (Upper Jordan Basin),Drainage works initiated in early September 1951 following government approval and commencement of canal excavation; project continued until 1958; later partially reversed through Hula restoration in the 1990s.,Hula drainage begins,33.06666667,35.58333333,https://www.kkl-jnf.org/organization-chief-scientist/water-for-israel/water_activity_hula_valley_rehabilitation/
19/12/1953,Society for the Protection of Nature in Israel established as a national conservation organisation following environmental concerns including the Hula Valley drainage.,Conservation & Environment,State of Israel,National (Israel),"Founded by Amotz Zahavi, Heinz Steinitz, and Azariah Alon; Hula drainage frequently cited as a catalyst for organised conservation efforts.",SPNI founded,31.7683,35.2137,https://www.environmentandsociety.org/tools/keywords/society-protection-nature-israel
06/06/1956,"Decision to designate part of the Hula Valley as a protected area, marking the first formal policy step toward conservation of remnant wetland ecosystems following planned drainage operations.",Conservation & Environment,State of Israel,"Hula Valley (Upper Galilee, northern Israel)",(pre-1967 sovereign territory),Papyrus swamp,33.103,35.61,https://www.zionistarchives.org.il/en/AttheCZA/AdditionalArticles/Pages/Hula.aspx
31/10/1958,Hula Valley wetland drainage project completed following removal of Lake Hula and surrounding marshes. (1951-1958),Conservation & Environment,State of Israel,Hula Valley (Upper Jordan Basin),Drainage works carried out 1951 1958; completion marked by final canalisation and agricultural conversion; ecological degradation later led to partial restoration in the 1990s.,Hula drainage completed,33.06666667,35.58333333,https://www.kkl-jnf.org/organization-chief-scientist/water-for-israel/water_activity_hula_valley_rehabilitation/
13/08/1963,"National Parks and Nature Reserves Law enacted, establishing the legal framework for designation and management of protected areas in Israel.",Conservation & Environment,State of Israel,National (Israel),"National Parks and Nature Reserves Law, 1963; exact commencement day varies in sources; 01/01/1963 retained as year-only placeholder pending Gazette commencement date.",Protected-areas law,31.7683,35.2137,https://faolex.fao.org/docs/pdf/isr7843.pdf
01/07/1963,Area of recreated papyrus swampland in the Hula Valley set aside for protection prior to formal nature reserve declaration. (pre-1964 formal declaration). Decision to designate part of the Hula as a nature reserve on 6 June 1956,Heritage & Archaeology,State of Israel,Hula Valley,Set-aside occurred during 1963 following drainage works; exact day not recorded; mid-year used as closest documented period preceding 1964 declaration.,Hula set-aside,33.06666667,35.58333333,https://www.kkl-jnf.org/organization-chief-scientist/water-for-israel/water_activity_hula_valley_rehabilitation/
26/11/1964,Hula Nature Reserve formally declared as a protected area under Israeli conservation legislation (first Israeli nature reserve); legal status recorded in Israeli Official Gazette.,Heritage & Archaeology,State of Israel,Hula Nature Reserve (Upper Jordan Basin),First declared nature reserve in Israel; legal status recorded in Official Gazette; later designated Ramsar wetland.,Hula declared,33.06666667,35.58333333,https://rsis.ramsar.org/ris/868
15/12/1964,Hula Nature Reserve inaugurated following preservation of remaining wetland habitat after drainage of the Hula Valley.,Heritage & Archaeology,State of Israel,Hula Valley,Inauguration occurred late 1964 following formal declaration; exact day not consistently recorded; mid-December used as closest documented period.,Hula inaugurated,33.06666667,35.58333333,https://www.kkl-jnf.org/organization-chief-scientist/water-for-israel/water_activity_hula_valley_rehabilitation/
07/06/1967,Israeli military administration established in the West Bank and Gaza Strip following the June 1967 war.,Military,West Bank and Gaza Strip (Israeli military administration),West Bank and Gaza Strip,"Beginning of military governance framework; followed by issuance of military orders regulating land, planning and infrastructure. Start of occupation governance; legal framework for subsequent military orders.",Military Governorate established,31.9522,35.2332,https://www.unocha.org/occupied-palestinian-territory
01/06/1970,Sebastia archaeological site designated as Shomron National Park under Israeli nature protection framework.,Heritage & Archaeology,West Bank (Israeli military administration),Sebastia / Samaria,Designation under Israeli nature protection framework; year 1970 documented. Coordinates use UNESCO Tentative List point.,Sebastia 'Shomron' NP declared,32.28333333,35.18333333,https://emekshaveh.org/en/the-political-struggle-over-the-future-of-tel-sebastia/
31/12/1971,Ein Gedi Nature Reserve declared in the Judean Desert surrounding the Ein Gedi oasis.,Heritage & Archaeology,State of Israel,"Ein Gedi (Dead Sea western shore, Judean Desert)",Source specifies end of 1971; exact declaration date not published; end-of-year retained as closest documented period.,Ein Gedi declared,31.46667,35.39389,https://en.parks.org.il/reserve-park/en-gedi-nature-reserve/
01/01/1973,Construction begins on Orot Rabin coal-fired power station near Hadera.,Energy,State of Israel,Hadera (Orot Rabin power station),Coal baseload expansion tied to energy-security planning after oil shocks. Construction initiated 1973; exact start day not consistently recorded; plant developed as large baseload coal generation facility.,Coal baseload build-out,32.4749,34.8922,https://www.gem.wiki/Orot_Rabin_power_station
