Date,Name,Type,Description of Purpose,Jurisdiction,Operator,Area,Used by Which Institutes,Company/Brand,Status,Notes on Dates,Latitude,Longitude,CameraURL,Source URL
2020,Hai-Bar Carmel Safe Feeding Station,Supplementary feeding station,"Provides screened livestock carcasses to support griffon-vulture conservation and reduce exposure to poison, veterinary drugs and contaminated food.","Haifa District, Israel",Israel Nature and Parks Authority (INPA),"Hai-Bar Carmel Nature Reserve, Mount Carmel","INPA, Society for the Protection of Nature in Israel (SPNI), Israel Electric Corporation, Charter Group of Wildlife Ecology",Poresim Kanaf / Wingspan,Documented active. Current provisioning schedule unconfirmed,Representative year based on the earliest public documentated location. The original installation date was not published.,32.75248,35.0142,,https://www.parks.org.il/new/gyps/ | https://mapcarta.com/N6852739052
2021,Gamla Nature Reserve Feeding Station,Supplementary feeding station,"Provides carcasses for vultures and other scavenging birds and supports the reserves rehabilitation, acclimation and release programme.",Golan Heights (Israeli-occupied Syrian territory),Israel Nature and Parks Authority (INPA),"Gamla Nature Reserve, Golan Heights",INPA reserve conservation and rehabilitation teams,INPA Vulture Conservation Programme,Active,Representative year based on the earliest dated public documentation located. The installation date was not published.,32.906344,35.744424,https://www.youtube.com/watch?v=mPQOtowEbNg,https://www.parks.org.il/new/boker-2/ | https://www.parks.org.il/new/nesher-gamla/ | https://mapcarta.com/N1596309807 | https://www.un.org/unispal/document/auto-insert-180751/
2016,Kokhav HaYarden / Belvoir Feeding Station,Supplementary feeding station,Supports vultures using the Lower Galilee and Jordan Valley region. The station is described as being near the national park.,"Northern District, Israel",Israel Nature and Parks Authority (INPA),Kokhav HaYarden National Park / Belvoir,INPA,Northern Vulture Feeding Network,Historical / Current operating status unconfirmed,Representative year based on the date of a public article. The installation date was not published.,32.595735,35.521372,,https://www.parks.org.il/article/%D7%9C%D7%95%D7%9E%D7%93%D7%99%D7%9D-%D7%91%D7%92%D7%9F-%D7%9C%D7%90%D7%95%D7%9E%D7%99-%D7%9B%D7%95%D7%9B%D7%91-%D7%94%D7%99%D7%A8%D7%93%D7%9F/ | https://amudanan.co.il/w/P407041
2015,Har Tzaror / Sde Zin Feeding Station,Supplementary feeding station,"Provides supplementary carcasses for vultures using the Sde Boker, Zin Valley and Zin Cliffs landscape.","Southern District, Israel",Israel Nature and Parks Authority (INPA),"Har Tzaror / Sde Zin, near Sde Boker","INPA, local field and conservation teams",Southern Supplementary Feeding Network,Publicly documented. Current provisioning schedule unconfirmed,Representative year based on the dated route documentation. The coordinate marks the junction opposite the feeding-area entrance.,30.859242,34.805465,,https://www.4x4.co.il/article/10720
2011,"Makhtesh Ramon / Even, Wind and Water Feeding Station",Former feeding station,"Former supplementary feeding and viewing site associated with the Stone, Wind and Water coloured-sands area in Makhtesh Ramon.","Southern District, Israel",Israel Nature and Parks Authority (INPA),"Makhtesh Ramon, near HaMinsara and the coloured-sands site",INPA,Makhtesh Ramon Vulture Lookout,Former / Inactive,Representative year based on early public documentation. Later reporting states that the feeding station and lookout ceased operating.,30.616948,34.847216,,https://www.parks.org.il/trip/negev-3/ | https://www.ynet.co.il/vacation/israeltrips/article/HyFh3oq8d | https://commons.wikimedia.org/wiki/File:%D7%90%D7%AA%D7%A8_%D7%90%D7%91%D7%9F_%D7%A8%D7%95%D7%97_%D7%9E%D7%99%D7%9D_%D7%9E%D7%9B%D7%AA%D7%A9_%D7%A8%D7%9E%D7%95%D7%9F_2.jpg
2019,Makhtesh Gadol - Makhtesh Katan Controlled Feeding Area,Supplementary feeding area,Controlled food-provision area for vultures in the large- and small-crater region of the Negev.,"Southern District, Israel",Israel Nature and Parks Authority (INPA),Makhtesh Gadol - Makhtesh Katan region,INPA,Southern Supplementary Feeding Network,Existence documented,"The year represents the public documentation located, not a confirmed installation date. The coordinate is the midpoint of the two crater centres.",30.943472,35.089861,,https://www.parks.org.il/nesher/ | https://www.wikidata.org/wiki/Q2911410 | https://commons.wikimedia.org/wiki/Category:Makhtesh_Katan
2001,Jerusalem Wilderness / El-Bariyah Feeding Station,Historical feeding station,Historical report of griffon vultures gathering near a feeding station in the Jerusalem Wilderness.,"West Bank, occupied Palestinian territory",Not stated in the source,Jerusalem Wilderness / El-Bariyah,Not stated,Historical Feeding-Site Reference,Historical. Present-day existence and operator unconfirmed,"The year is the date of the reported observation, not a confirmed installation date. The coordinate is a broad landscape centroid.",31.7028,35.3349,,https://www.fatehwatan.ps/page-175774.html | https://www.keybiodiversityareas.org/site/factsheet/9637 | https://www.idf.il/en/mini-sites/military-advocate-generals-corps/department-of-the-legal-advisor-to-the-region-of-judea-and-samaria/ | https://www.ochaopt.org/content/humanitarian-fact-sheet-area-c-west-bank-july-2011
2020,Hai-Bar Carmel Feeding-Station Camera,Feeding-station camera,"Continuously records vultures and other scavengers at the safe feeding station for monitoring, research, education and citizen science.","Haifa District, Israel",INPA / Charter Group of Wildlife Ecology,"Hai-Bar Carmel Nature Reserve, Mount Carmel","INPA, Society for the Protection of Nature in Israel (SPNI), Israel Electric Corporation, Charter Group of Wildlife Ecology",BirdBox Israel / Vulture Feeding Station Camera,Active,The year corresponds to the public launch announcement dated 25 May 2020.,32.75248,35.0142,https://www.youtube.com/watch?v=IKr6MkUkv1c,https://www.parks.org.il/new/gyps/ | https://www.birdboxisrael.org/%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98%D7%99%D7%9D-%D7%91%D7%A2%D7%91%D7%A8%D7%99%D7%AA/%D7%9E%D7%93%D7%A2-%D7%90%D7%96%D7%A8%D7%97%D7%99-%D7%AA%D7%A6%D7%A4%D7%99%D7%AA-%D7%A0%D7%A9%D7%A8%D7%99%D7%9D-%D7%91%D7%AA%D7%97%D7%A0%D7%AA-%D7%94%D7%90%D7%9B%D7%9C%D7%94-%D7%97%D7%99-%D7%91%D7%A8-%D7%9B%D7%A8%D7%9E%D7%9C | https://mapcarta.com/N6852739052
2020,Hai-Bar Carmel Vulture Enclosure Camera,Enclosure camera,"Documents vultures at the reserves rehabilitation and release complex, as well as at the camera-monitored supplementary feeding station.","Haifa District, Israel",INPA / Charter Group of Wildlife Ecology,"Hai-Bar Carmel Nature Reserve, Mount Carmel","INPA, Charter Group of Wildlife Ecology, citizen-science participants",BirdBox Israel / Hai-Bar Camera Network,Documented. Current stream availability may vary,Representative year based on the camera-project documentation. The precise installation date was not published.,32.75248,35.0142,,https://www.birdboxisrael.org/%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98%D7%99%D7%9D-%D7%91%D7%A2%D7%91%D7%A8%D7%99%D7%AA/%D7%9E%D7%93%D7%A2-%D7%90%D7%96%D7%A8%D7%97%D7%99-%D7%AA%D7%A6%D7%A4%D7%99%D7%AA-%D7%A0%D7%A9%D7%A8%D7%99%D7%9D-%D7%91%D7%AA%D7%97%D7%A0%D7%AA-%D7%94%D7%90%D7%9B%D7%9C%D7%94-%D7%97%D7%99-%D7%91%D7%A8-%D7%9B%D7%A8%D7%9E%D7%9C | https://mapcarta.com/N6852739052
2021,Griffon Vulture Nest at Gamla Reserve,Feeding-station camera,Monitors vultures and other scavengers at the Gamla supplementary feeding station near the rehabilitation and release facilities.,Golan Heights (Israeli-occupied Syrian territory),INPA / Charter Group of Wildlife Ecology,"Gamla Nature Reserve, Golan Heights","INPA, Charter Group of Wildlife Ecology, project partners",CamStreamer / Gamla Vulture Feeding Station Camera,Active,The year corresponds to the earliest dated live-stream documentation located. The physical camera may have been installed earlier.,32.906344,35.744424,https://www.youtube.com/watch?v=FdUQg5504tY,https://camstreamer.com/live/stream/759391844-live-vulture-feeding-station-gamla-cam | https://www.mangolinkcam.com/webcams/birds/vulture-feeding-station-israel.html | https://mapcarta.com/N1596309807 | https://www.un.org/unispal/document/auto-insert-180751/
